Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION,CHANGEDONDATE
74ab949d-17ac-3309-83a0-13b4405c66aa,Fitchburg Outpatient Clinic,881 Main Street,Fitchburg,MA,1420,42.586487,-71.80521,978-342-9781 Or 978-342-9781,0,66,2025-02-13T02:08:48.346+09:00
faffaf6a-ee1a-3673-b0b0-421a9c249244,ACTIVATED BY WELLNESS LLC,66 WASHINGTON ST,STOUGHTON,MA,20722571,42.14415820061801,-71.10378319512402,6178719807,0,34,2025-02-13T02:08:48.346+09:00
17a4bae5-8b64-34d7-8144-b428be027bd0,NURSE ON CALL,512 MAIN STREET  SUITE 211,SHREWSBURY,MA,15456406,42.295109499999995,-71.71808471110307,5088451232,0,5,2025-02-13T02:08:48.346+09:00
e09d4c49-c2ef-3b0f-9a46-3719d9219306,UMASS MEMORIAL HEALTHALLIANCE CLINTON HOSPITAL INC,60 HOSPITAL RD,LEOMINSTER,MA,14533290,42.54031915,-71.76312990486304,9784662000,0,30,2025-02-13T02:08:48.346+09:00
c241b977-4131-32e4-9957-e0a00b2a1e5f,DUFFY HEALTH CENTER,94 MAIN STREET,HYANNIS,MA,26013146,41.6562802,-70.27448000204822,5087719599,0,1,2025-02-13T02:08:48.346+09:00
e3089df2-a1db-372a-b660-30392d8c197b,PIONEER FAMILY HEALTH CARE LLC,178 N MAIN ST,SHARON,MA,20671229,42.13301625,-71.17263163492832,6176948356,0,48,2025-02-13T02:08:48.346+09:00
ab701a70-a658-340e-8f69-ee196a7d40c6,CAREWELL URGENT CARE CENTERS OF MA  PC,484 RTE 134,WORCESTER,MA,16071728,42.2625621,-71.8018877,5086947901,0,94,2025-02-13T02:08:48.346+09:00
11ba6a26-59b4-3728-a268-6dc9929962b4,COURTYARD NURSING CARE CENTER,200 GOVERNORS AVENUE,MEDFORD,MA,21551644,42.42711615,-71.1121606632448,7813915400,0,5,2025-02-13T02:08:48.346+09:00
39104cad-5228-3e07-9b3e-3ad736b33d5d,GREATER BOSTON WELLNESS PRIMARY CARE PC,200 PROVIDENCE HWY,DEDHAM,MA,20261881,42.22214545274341,-71.18159060546684,7814610660,0,77,2025-02-13T02:08:48.346+09:00
667b46fe-0afa-3f70-a311-bbe3d52db050,URGENT CARE CENTERS OF CENTRAL MASSACHUSETTS LLC,757 BOSTON POST RD,WORCESTER,MA,16071728,42.231371,-72.165386,6173024194,0,9,2025-02-13T02:08:48.346+09:00
643eac8e-1620-3b6a-b9f3-664b003d22cd,GIFFORD STREET WELLNESS CENTER LLC,34 GIFFORD ST,NEW BEDFORD,MA,27442610,41.6177929,-70.91890087055067,5089993126,0,24,2025-02-13T02:08:48.346+09:00
8e3ca57f-6f74-3d61-9803-ab1424290216,ACADEMY MANOR,89 MORTON STREET,ANDOVER,MA,18102036,42.6551409,-71.12857340697036,9784750944,0,7,2025-02-13T02:08:48.346+09:00
5fcff9db-16e4-3e56-aa78-abbc16338097,THE LOWELL GENERAL HOSPITAL,295 VARNUM AVE,WESTFORD,MA,18863513,42.5792583,-71.4378411,9789376000,0,105,2025-02-13T02:08:48.346+09:00
fa09396a-2926-3b21-ad0c-9f6cabbce0eb,WOONSOCKET URGENT CARE PC,1210 BOSTON PROVIDENCE TPKE,NORWOOD,MA,20625061,42.1714075,-71.1951186,4017662700,0,13,2025-02-13T02:08:48.346+09:00
84abfbd5-41c1-3df4-9b31-7ca93cb2309a,SKIN WELLNESS PHYSICIANS LLC,85 HERRICK ST,BEVERLY,MA,19151790,42.56415055,-70.8751357650672,9785247933,0,50,2025-02-13T02:08:48.346+09:00
